품목일련번호,품목명,품목 영문명,업체명,업체 영문명,업허가번호,업일련번호,업종,전문일반구분,주성분,주성분수,큰제품이미지,신고허가구분,취소/취하일자,취소/취하구분,분류명,품목허가번호,보험코드,사업자번호,품목허가일자,Unnamed: 20
196400090,보화경옥고,BohwaKyungokko,원광제약(주),WONKWANGPHARMACEUTICALCORPORATION,1450.0,19640014.0,의약품,일반의약품,Poria/Honey/RehmanniaeGlutinosaeLiboschitzvar.PurpureaeMakino/Ginseng,4,-,신고,-,정상,[03290]기타의자양강장변질제,276.0,-,4038107268,19641029.0,
196500051,지엘타이밍정(카페인무수물),GLTimingTab.,지엘파마(주),GLPharma,1475.0,19650018.0,의약품,일반의약품,AnhydrousCaffeine,1,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NAT_bwbZd9,허가,-,정상,[01150]각성제|흥분제,2.0,-,1238114470,19651221.0,
196600011,베스타제정,BestaseTab.,동아제약(주),Dong-APharmaceuticalCo.|Ltd.,2606.0,20133156.0,의약품,일반의약품,Biodiastase500/LipaseAP6/CellulaseAP3,3,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427311457100131,신고,-,정상,[02330]건위소화제,920.0,-,2048640118,19660523.0,
196600012,베스타제당의정,BestaseSugarCoatedTab.,동아제약(주),Dong-APharmaceuticalCo.|Ltd.,2606.0,20133156.0,의약품,일반의약품,Biodiastase500/LipaseAP6/CellulaseAP3,3,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MoApPycZgS,신고,-,정상,[02330]건위소화제,921.0,-,2048640118,19660523.0,
196600062,용각산,YounggaksanPowder,(주)보령,BoryungCo.|Ltd.,1689.0,19880005.0,의약품,일반의약품,PlatycodonRootPowder/SenegaPowder/ApricotKernel/GlycyrrhizaPowder/PlatycodonRoot·ApricotKernelPowder/SenegaPowder/GlycyrrhizaPowder,7,-,신고,-,정상,[02220]진해거담제,31.0,-,2088100281,19660919.0,
196600063,원비디,Wonbi-D,일양약품(주),IL-YANGPHARM.CO.|LTD.,1336.0,19570013.0,의약품,일반의약품,PyridoxineHydrochloride/Riboflavin/Nicotinamide/AnhydrousCaffeine/CalciumPantothenate/GinsengFluidExtract/LyciumFruitFluidExtract,7,-,신고,-,정상,[03290]기타의자양강장변질제,216.0,-,2098100872,19661212.0,
196700061,에어신신파스,AirSinsinPas,신신제약(주),SINSINPharmaceuticalCo.|Ltd.,1332.0,19570016.0,의약품,일반의약품,L-Menthol/D-Camphor/MethylSalicylate/Diphenhydramine/Thymol/GlycolSalicylate,6,-,신고,-,정상,[02640]진통.진양.수렴.소염제,87.0,-,1188104136,19670719.0,
196800036,판콜에이내복액,PANCOLD-ASolutions,동화약품(주),DongwhaPharm.Co.|Ltd.,1331.0,19570006.0,의약품,일반의약품,Acetaminophen/Guaifenesin/PentoxyverineCitrate/PhenylephrineHydrochloride/ChlorpheniramineMaleate/AnhydrousCaffeine,6,-,신고,-,정상,[01140]해열.진통.소염제,106.0,-,1108100102,19680827.0,
196900058,코푸시럽에스,CoughSyrup-S,(주)유한양행,YUHANCorporation,1329.0,19560004.0,의약품,일반의약품,DextromethorphanHydrobromideHydrate/DL-MethylephedrineHydrochloride/ChlorpheniramineMaleate/AmmoniumChloride,4,-,신고,-,정상,[02220]진해거담제,94.0,-,1188100601,19691104.0,
197000037,아로나민골드정,AronaminGoldTablet,일동제약(주),IldongPharmaceuticalCo.|Ltd.,1293.0,19540006.0,의약품,일반의약품,Fursultiamine/RiboflavinButyrate/PyridoxalPhosphateHydrate/HydroxocobalaminAcetate/AscorbicAcid/TocopherolAcetatePowder50%/Fursultiamine/RiboflavinButyrate/PyridoxalPhosphateHydrate/HydroxocobalaminAcetate/AscorbicAcid/TocopherolAcetatePowder50%,12,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154609810414600027,신고,-,정상,[03160]혼합비타민제(비타민AD혼합제제를제외),98.0,-,6828500435,19700417.0,
197000040,대웅우루사연질캡슐,URSASoftCapDaeWoong,(주)대웅제약,DaewoongPharmaceuticals,1289.0,19540008.0,의약품,일반의약품,UrsodeoxycholicAcid/ThiamineNitrate/Riboflavin/UrsodeoxycholicAcid/ThiamineNitrate/Riboflavin/UrsodeoxycholicAcid/ThiamineNitrate/Riboflavin,9,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcd74,신고,-,정상,[03910]간장질환용제,38.0,-,1248601143,19700514.0,
197000053,액티피드정,ACTIFEDTab.,삼일제약(주),SamilPharm.Co.|Ltd.,1314.0,19550010.0,의약품,일반의약품,PseudoephedrineHydrochloride/TriprolidineHydrochlorideHydrate,2,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151369816808500002,신고,-,정상,[01410]항히스타민제,86.0,-,1348500765,19700925.0,
197000073,투수크친시럽(수출용),TusscochinSyrup(forexport),안국약품(주),AhngookPharm,1362.0,19580004.0,의약품,일반의약품,NoscapineHydrochloride/ChlorpheniramineMaleate/DL-MethylephedrineHydrochloride/PotassiumGuaiacolsulfonate,4,-,허가,-,정상,[02220]진해거담제,98.0,-,1188104188,19700128.0,
197000076,보나링에이정(디멘히드리네이트),Bonaling-ATab.,일양약품(주),IL-YANGPHARM.CO.|LTD.,1336.0,19570013.0,의약품,일반의약품,Dimenhydrinate,1,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs9gg,신고,-,정상,[02350]최토제|진토제,79.0,641700560,2098100872,19700416.0,
197100015,타치온정50밀리그램(글루타티온(환원형)),TathionTab.50mg,동아제약(주),Dong-APharmaceuticalCo.|Ltd.,2606.0,20133156.0,의약품,일반의약품,Glutathione(Reduced),1,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F66kj,신고,-,정상,[03920]해독제,235.0,-,2048640118,19711123.0,
197100059,쎄레스톤지크림,Celestone-GCream,(주)유한양행,YUHANCorporation,1329.0,19560004.0,의약품,일반의약품,BetamethasoneValerate/GentamicinSulfate,2,-,신고,-,정상,[02640]진통.진양.수렴.소염제,5112.0,-,1188100601,19710130.0,
197100081,키모랄에스정,Kimoral-STab.,(주)에이프로젠바이오로직스,AprogenBiologicsInc.,1386.0,19590001.0,의약품,일반의약품,CrystallizedTrypsin/Bromelain/Bromelain/CrystallizedTrypsin,4,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NjeveJRSOJ,신고,-,정상,[03950]효소제제,283.0,-,2188100518,19710506.0,
197200165,천우조고약,-,천우신약(주),ChunWooPharmceuticalCo.|Ltd,1547.0,19720010.0,의약품,일반의약품,AstragalusRoot/LoniceraFlower/ScrophulariaRoot/Minium/YellowBeeswax/ApricotKernel/AtractylodesRhizome/Rhubarb/Sulfur/CitrusUnshiuPeel/Sucrose,11,-,신고,-,정상,[04290]기타의종양치료제,1.0,-,2148635306,19720404.0,
197200167,유니파스(수출용),UniPas,신신제약(주),SINSINPharmaceuticalCo.|Ltd.,1332.0,19570016.0,의약품,일반의약품,L-Menthol/MethylSalicylate/D-Camphor/Thymol/Bomeolum/L-Menthol/MethylSalicylate/D-Camphor/Thymol/Bomeolum,10,-,신고,-,정상,[02640]진통.진양.수렴.소염제,80.0,-,1188104136,19721115.0,
197200483,뇌선,NeusunPowder,씨에이치디제약주식회사,ChunHeDangPharm|Co|Ltd.,1339.0,19570015.0,의약품,일반의약품,AnhydrousCaffeine/Acetaminophen,2,-,신고,-,정상,[01140]해열.진통.소염제,2.0,-,1308108511,19720828.0,
197300075,성광관장약,SungkwangEnema,(주)퍼슨,FirsonCo.|Ltd.,1338.0,19570002.0,의약품,일반의약품,ConcentratedGlycerin,1,-,신고,-,정상,[02380]하제|완장제,47.0,-,1308168218,19730724.0,
197300231,광동원방우황청심원,-,광동제약(주),KwangdongPharmCo.|Ltd.,150.0,19920004.0,의약품,일반의약품,DioscoreaRhizome/Licorice/Ginseng/TyphaePollen/MassaMedicataFermentata/GlycineSemenGerminatum/CinnamonBark/PeonyRoot/LiriopeTuber/ScutellariaRoot/AngelicaGigasRoot/SaposhnikoviaRoot/AtractylodesRhizomeWhite/BupleurumRoot/PlatycodonRoot/ApricotKernel/Poria/CnidiumRhizome/CattleGallstone/AsiniCoriiColla/GazellaeseuSaigaeCornu/Moschus/Bomeolum/AmpelopsisRadix/Ginger,25,-,신고,-,정상,[02190]기타의순환계용약,147.0,-,1138108888,19731227.0,
197400020,한풍소건중과립(계지가작약탕엑스과립),HanpoongSogeonjungExtractGranules(GyejigajakyaktangExtractGranules),(유)한풍제약,HANPOONGPHARM.Co.|Ltd.,1417.0,19620003.0,의약품,일반의약품,GyejigajakyaktangSoftExtract,1,-,신고,-,정상,[02390]기타의소화기관용약,94.0,-,4188101820,19741125.0,
197400199,안국니트로푸라존연고,AhngookNitrofurazoneOint.,안국약품(주),AhngookPharm,1362.0,19580004.0,의약품,일반의약품,Nitrofurazone,1,-,신고,-,정상,[02630]화농성질환용제,120.0,-,1188104188,19740319.0,
197400207,겔포스현탁액(인산알루미늄겔),GelfosSuspension(AluminumPhosphategel),(주)보령,BoryungCo.|Ltd.,1689.0,19880005.0,의약품,일반의약품,AluminiumPhosphateGel/ColloidalAluminiumPhosphate,2,-,신고,-,정상,[02340]제산제,164.0,-,2088100281,19740315.0,
197400233,신신파스(수출용)(수출명:별첨),SinsinPas,신신제약(주),SINSINPharmaceuticalCo.|Ltd.,1332.0,19570016.0,의약품,일반의약품,MethylSalicylate/DL-Camphor/Thymol/Bomeolum/L-Menthol/L-Menthol/MethylSalicylate/DL-Camphor/Thymol/Bomeolum/L-Menthol/MethylSalicylate/DL-Camphor/Thymol/Bomeolum/L-Menthol/MethylSalicylate/DL-Camphor/Thymol/Bomeolum/L-Menthol/MethylSalicylate/DL-Camphor/Thymol/Bomeolum,25,-,신고,-,정상,[02640]진통.진양.수렴.소염제,51.0,-,1188104136,19740306.0,
197400246,마그밀정(수산화마그네슘),MagmilTab.(MagnesiumHydroxide),삼남제약(주),SAMNAMPHARMACEUTICALCO.|LTD,1307.0,19550017.0,의약품,일반의약품,MagnesiumHydroxide,1,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OZiugAPfPm,신고,-,정상,[02340]제산제,123.0,653700240,3058118345,19740902.0,
197400262,트레스탄캡슐,TrestanCap.,삼진제약(주),SAMJINPHARM.CO.|LTD,1324.0,19560011.0,의약품,일반의약품,CyproheptadineOrotateHydrate/DL-CarnitineHydrochloride/L-LysineHydrochloride/Cyanocobalamin,4,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152855882703400021,신고,-,정상,[01190]기타의중추신경용약,19.0,-,1248531621,19741021.0,
197400277,뮤코졸정(브롬헥신염산염),MucosolTablet,부광약품(주),BUKWANGPHARM.CO.|LTD.,1427.0,19630001.0,의약품,일반의약품,BromhexineHydrochloride,1,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NvwvvpENiE,신고,-,정상,[02220]진해거담제,83.0,642200520,1188100450,19741125.0,
197400343,신일브롬헥신염산염정(수출명:BIVOTUME|BIVO),SinilBromhexineHClTab.,신일제약(주),SinilPharm,1321.0,19560015.0,의약품,일반의약품,BromhexineHydrochloride/BromhexineHydrochloride,2,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427572144400033,신고,-,정상,[02220]진해거담제,73.0,653801420,3038113742,19741102.0,
197400369,개풍경옥고(수출용),-,광동제약(주),KwangdongPharmCo.|Ltd.,150.0,19920004.0,의약품,일반의약품,RehmanniaeGlutinosaeLiboschitzvar.PurpureaeMakino/GinsengPowder/PoriaPowder/LyciumFruitPowder/AquilariaeLignumPowder/Honey,6,-,신고,-,정상,[03290]기타의자양강장변질제,138.0,-,1138108888,19741219.0,
197400416,유락신연고(크로타미톤),UracinOintment,(주)녹십자,GCBiopharmaCorp.,1735.0,19910005.0,의약품,일반의약품,Crotamiton/Crotamiton,2,-,신고,-,정상,[02650]기생성피부질환용제,181.0,-,3038117108,19740611.0,
197400574,한풍쌍화탕엑스과립,HanpoongSsanghwatangExtractGranules,(유)한풍제약,HANPOONGPHARM.Co.|Ltd.,1417.0,19620003.0,의약품,일반의약품,SsanghwatangSoftExtract,1,-,신고,-,정상,[03290]기타의자양강장변질제,148.0,-,4188101820,19741125.0,
197500016,낙센정(나프록센),NaxenTab.250mg,(주)종근당,ChongKunDangPharm.,1459.0,19650001.0,의약품,일반의약품,Naproxen,1,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427297681200156,신고,-,정상,[01140]해열.진통.소염제,57.0,-,3128560679,19750429.0,
197500088,암포젤정(건조수산화알루미늄겔),AmphojelTab.(Aluminumhydroxidegel(dried)),일동제약(주),IldongPharmaceuticalCo.|Ltd.,1293.0,19540006.0,의약품,일반의약품,DriedAluminiumHydroxideGel,1,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mxwka5v2fV,신고,-,정상,[02340]제산제,157.0,-,6828500435,19751125.0,
197500236,래피탈질정(클로트리마졸)(수출명:CATIOMA)(수출용),CATIOMA,(주)에이프로젠바이오로직스,AprogenBiologicsInc.,1386.0,19590001.0,의약품,일반의약품,Clotrimazole,1,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F64lU,신고,-,정상,[02550]비뇨생식기관용제(성병예방제포함),390.0,-,2188100518,19751128.0,
197500291,고려됴고약,-,천우신약(주),ChunWooPharmceuticalCo.|Ltd,1547.0,19720010.0,의약품,일반의약품,AurantiiPericarpuim/Sulfur/ScutellariaRoot/Rhubarb/AmpelopsisRadix/YellowBeeswax/PeonyRoot/PhellodendronBark/AngelicaDahuricaRoot/AstragalusRoot/MomordicaeSemen/ApricotKernel/AngelicaGigasRoot/BletillaeRhizoma/CinnamonBark/ScrophulariaRoot/RehmanniaeRadixRecens/Olibanum/Myrrh/Minium,20,-,신고,-,정상,[04290]기타의종양치료제,18.0,-,2148635306,19750224.0,
197500295,마그노칼벨라정(수출용),Magnocal-BellaTab.,(주)동구바이오제약,DongKooBio&PharmaCo.|Ltd.,1305.0,19550015.0,의약품,일반의약품,Simaldrate/BelladonnaExtract,2,-,신고,-,정상,[02320]소화성궤양용제,231.0,-,1248533615,19750605.0,
197500388,부로마정(브롬헥신염산염)(수출명:메디솔본정|메디본정)(수출용),BromaTab.,영일제약(주),YoungilPharm,1523.0,19710014.0,의약품,일반의약품,BromhexineHydrochloride/BromhexineHydrochloride/BromhexineHydrochloride/BromhexineHydrochloride/BromhexineHydrochloride,5,-,신고,-,정상,[02220]진해거담제,370.0,-,3018106847,19750712.0,
197500654,아시원정(방풍통성산엑스정),AsiwonTab.(BangpungtongseongsanExtractTab.),(유)한풍제약,HANPOONGPHARM.Co.|Ltd.,1417.0,19620003.0,의약품,일반의약품,BangpungtongsungsanSoftExtract(5.2→1),1,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152225161583400010,신고,-,정상,[02190]기타의순환계용약,166.0,-,4188101820,19750806.0,
197600010,반사신과립(반하사심탕엑스과립),BansasinGranules(BanhasasimtangExtractGranules),(유)한풍제약,HANPOONGPHARM.Co.|Ltd.,1417.0,19620003.0,의약품,일반의약품,BanhasasimtangSoftExtract(4.50→1),1,-,신고,-,정상,[02390]기타의소화기관용약,605.0,-,4188101820,19760114.0,
197600012,마이센스과립(온경탕),My-senseGranules(Onkyeongtang),(유)한풍제약,HANPOONGPHARM.Co.|Ltd.,1417.0,19620003.0,의약품,일반의약품,Onkyung-tangSoftExtract(4.45→1),1,-,신고,-,정상,[02530]통경제,542.0,-,4188101820,19760114.0,
197600013,소시온과립(소시호탕엑스과립),SosionGranules(SosihotangExtractGranules),(유)한풍제약,HANPOONGPHARM.Co.|Ltd.,1417.0,19620003.0,의약품,일반의약품,SosihotangSoftExtracts,1,-,신고,-,정상,[02390]기타의소화기관용약,655.0,-,4188101820,19760131.0,
197600017,코오푸론과립(마행감석탕),Ko-opuronGranules(Mahaenggamseogtang),(유)한풍제약,HANPOONGPHARM.Co.|Ltd.,1417.0,19620003.0,의약품,일반의약품,MahaenggamseogtangSoftExtract,1,-,신고,-,정상,[02220]진해거담제,608.0,-,4188101820,19760707.0,
197600020,십패산과립(십미패독산),SibpaesanGranules(Sibmipaedogsan),(유)한풍제약,HANPOONGPHARM.Co.|Ltd.,1417.0,19620003.0,의약품,일반의약품,-,1,-,신고,-,정상,[02630]화농성질환용제,594.0,-,4188101820,19760816.0,
197600024,소요과립(가미소요산엑스과립),SoyoGranules(GamisoyosanExtractGranules),(유)한풍제약,HANPOONGPHARM.Co.|Ltd.,1417.0,19620003.0,의약품,일반의약품,GamisoyosanSoftExtract,1,-,신고,-,정상,[02530]통경제,513.0,-,4188101820,19761104.0,
197600025,헥사롱과립(육미지황탕),HexalongGranules(Yukmijihwangtang),(유)한풍제약,HANPOONGPHARM.Co.|Ltd.,1417.0,19620003.0,의약품,일반의약품,PreparedRehmanniaRoot/CornusFruit/DioscoreaRhizome/AlismaRhizome/Poria/MoutanRootBark/YukmijihwangtangSoftExtract,7,-,신고,-,정상,[03990]따로분류되지않는대사성의약품,97.0,-,4188101820,19760327.0,
197600028,글리돈과립(작약감초탕),GlydonGranules(Jagyakgamchotang),(유)한풍제약,HANPOONGPHARM.Co.|Ltd.,1417.0,19620003.0,의약품,일반의약품,PeonyRoot/Licorice,2,-,신고,-,정상,[01140]해열.진통.소염제,107.0,-,4188101820,19760327.0,
197600029,보중기과립(보중익기탕),BojungiGranules(Bojungikgitang),(유)한풍제약,HANPOONGPHARM.Co.|Ltd.,1417.0,19620003.0,의약품,일반의약품,Ginseng/AtractylodesRhizomeWhite/AstragalusRoot/AngelicaGigasRoot/CitrusUnshiuPeel/Jujube/BupleurumRoot/Ginger/Licorice/CimicifugaRhizome/BojungikgitangSoftExtract,11,-,신고,-,정상,[03290]기타의자양강장변질제,129.0,-,4188101820,19761104.0,
197600030,마진가과립(소건중탕),MajingaGranules(Sogeonjungtang),(유)한풍제약,HANPOONGPHARM.Co.|Ltd.,1417.0,19620003.0,의약품,일반의약품,CinnamomiRamulus/Jujube/PeonyRoot/Licorice/RawGinger/SaccharumGranorum/SogeonjungtangSoftExtracts,7,-,신고,-,정상,[03290]기타의자양강장변질제,132.0,-,4188101820,19760114.0,
197600172,포타딘액(포비돈요오드),PotadineSolution,삼일제약(주),SamilPharm.Co.|Ltd.,1314.0,19550010.0,의약품,일반의약품,PovidoneIodine,1,-,신고,-,정상,[02610]외피용살균소독제,12.0,643901680,1348500765,19760710.0,
197600174,액티피드시럽,ACTIFEDSyrup,삼일제약(주),SamilPharm.Co.|Ltd.,1314.0,19550010.0,의약품,일반의약품,PseudoephedrineHydrochloride/TriprolidineHydrochlorideHydrate,2,-,신고,-,정상,[01410]항히스타민제,64.0,643900891|643900892,1348500765,19760323.0,
197600345,페리나정,PerinaTab.,삼진제약(주),SAMJINPHARM.CO.|LTD,1324.0,19560011.0,의약품,일반의약품,PseudoephedrineHydrochloride/ChlorpheniramineMaleate,2,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/149140683129300030,신고,-,정상,[01410]항히스타민제,309.0,-,1248531621,19760622.0,
197600412,로프민캡슐(로페라미드염산염),LopminCap.,영일제약(주),YoungilPharm,1523.0,19710014.0,의약품,일반의약품,LoperamideHydrochloride,1,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N-191WfV1w,신고,-,정상,[02370]정장제,44.0,649400510,3018106847,19760414.0,
197600483,신일비사코딜정,SinilBisacodylTab.,신일제약(주),SinilPharm,1321.0,19560015.0,의약품,일반의약품,Bisacodyl,1,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Nk2K_pikjU,신고,-,정상,[02380]하제|완장제,84.0,-,3038113742,19760629.0,
197600539,세가톤트로키(염화세칠피리디늄),CegatonTroche,알파제약(주),AlphaPharm.Co.|Ltd.,1433.0,19630008.0,의약품,일반의약품,CetylpyridiniumChlorideHydrate,1,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MaAIzBwRVi,신고,-,정상,[02310]치과구강용약,23.0,-,1398108124,19760209.0,
197600614,갈타제산(베타-갈락토시다제(아스퍼길루스)),GALTASEPowder(β-Galactosidase(Aspergillus)),현대약품(주),HyundaiPharmCo.|Ltd.,1478.0,19660001.0,의약품,일반의약품,Beta-Galactosidase(Aspergillus),1,-,허가,-,정상,[02370]정장제,167.0,642000011,1308100988,19761204.0,
197600721,헤도린과립(황련해독탕),HedorinGranules(Hwangryeonhaedoktang),(유)한풍제약,HANPOONGPHARM.Co.|Ltd.,1417.0,19620003.0,의약품,일반의약품,HwangryeonhaedoktangSoftExtract,1,-,신고,-,정상,[01190]기타의중추신경용약,145.0,-,4188101820,19761104.0,
197600722,리나치올시럽(카르보시스테인)(수출명:HyundiolSyrup),Rhinathiolsyrup2%(Carbocysteine),현대약품(주),HyundaiPharmCo.|Ltd.,1478.0,19660001.0,의약품,일반의약품,Carbocisteine,1,-,신고,-,정상,[02220]진해거담제,162.0,642000211|642000212,1308100988,19760706.0,
197700008,인사돌정(수출명:하이돌정|펠이돌정),InsadolTablet,동국제약(주),DongkookPharmaceuticalCo.|Ltd.,1416.0,19620002.0,의약품,일반의약품,TitratedExtractofZeaMaysL.UnsaponifiableFraction,1,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F67m6,신고,-,정상,[02310]치과구강용약,27.0,-,3018508241,19771006.0,
197700011,계령대과립(계지복령환료가대황엑스과립),GyeryeongdaeGranules(GyejibokryeonghwanryogadaehwangExtractGranules),(유)한풍제약,HANPOONGPHARM.Co.|Ltd.,1417.0,19620003.0,의약품,일반의약품,GyejibokryeonghwangadaehwangSoftExtract,1,-,신고,-,정상,[02530]통경제,165.0,-,4188101820,19771117.0,
197700120,부루펜정200밀리그램(이부프로펜),BRUFENTab.200mg,삼일제약(주),SamilPharm.Co.|Ltd.,1314.0,19550010.0,의약품,일반의약품,Ibuprofen,1,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mxwka5v45V,신고,-,정상,[01140]해열.진통.소염제,97.0,643900470,1348500765,19770121.0,
197700189,일양노이겔현탁액(규산알루민산마그네슘),IL-YANGNoigelSuspension,일양약품(주),IL-YANGPHARM.CO.|LTD.,1336.0,19570013.0,의약품,일반의약품,MagnesiumAluminosilicate,1,-,신고,-,정상,[02340]제산제,52.0,641701581,2098100872,19771101.0,
197700283,한신작약감초탕엑스과립,-,(주)한국신약,HANKOOKSHINYAK,1404.0,19610004.0,의약품,일반의약품,PeonyRoot/Licorice,2,-,신고,-,정상,[01140]해열.진통.소염제,668.0,-,3148101187,19770531.0,
197700302,한신영계출감탕엑스과립,-,(주)한국신약,HANKOOKSHINYAK,1404.0,19610004.0,의약품,일반의약품,Poria/CinnamomiRamulus/AtractylodesRhizomeWhite/Licorice,4,-,신고,-,정상,[02190]기타의순환계용약,126.0,-,3148101187,19770531.0,
